Username,Comment,Duplicate_Count,Fake_Score,Fake_Detection
@vishnuallinone8026,Only e movie lo act chesaru vishnu,1,0,Real
@srikanthsrikanth572,15:27 rajasab song 😅😂,1,0,Real
@jackietiger5523,38:46,1,1,Real
@Suresh-y4s6r,#Erri Pukku People Media Factory And Maruti Trailers Lo Manchi Scenes Petti Malli A Scenes Delete Chayyatam Prabhas Fight Scenes Manchi Intro Scene For Prabhas Ekkada Raa Pichi Pukka Chatta Chupichastara Raa Maa Money Waste Cheysaru Kada Raa PICHI pukkalara.,1,0,Real
@nalluriaakash,Watch in 2026,1,0,Real
@BMY_0893,15:24 after rajasaab,1,0,Real
@phanisairam1950,Vishnu movies lo idey good mv,1,0,Real
@ravisunilutubesunil2595,actually Vishnu is a very fine artist and has ease in doing these type of characters,1,0,Real
@sanatana.tales.official,"anyone in 29-dec-2025 , that epic dialogue ""EMANDI CHARI GARU""😂😂😂😂😂",1,2,Suspicious
@CoreVectorTech,great,1,1,Real
@GonesidduGonesiddu,2025 kuda unnara 😂,1,0,Real
@TSWRSPEDDAPALLY,wow,1,1,Real
@Crime7273,ఈ మూవీ లో బ్రహ్మి రియాక్షన్స్ సూపర్ అసలు ....,1,2,Suspicious
@PrasadRatho-i3k,Prasadratho comdy jlabagunathi 😂😂😂😂😂,1,0,Real
@DDurgaRAMESH-m4v,👌,2,3,Suspicious
@shivap_2703,we need businessman part-2,1,0,Real
@PavankumarAdi-g5i,మిస్సింగ్ శ్రీహరి అన్న,1,2,Suspicious
@nagamanobhirammoganti4392,2025 lo evaru ayina chusthunara,1,0,Real
@PKalyan-rx3ex,Watching in 2026 🎉,1,0,Real
@Ojjas_Gambheeraa,"Edi kada telangana modulation..
Atti bittiri gallu andaru immitate cheyadame...",1,0,Real
@pavan13243,Nov 2025,1,2,Suspicious
@4..489,Everyone 2025 October,1,0,Real
@adityababu9761,Watching in September 2025,1,0,Real
@AvinashReddyReddy-m5h,జెనీలియా మంచు విష్ణు కామెడీ లవ్ స్టోరీ బ్రహ్మానందం సునీల్ కామెడీ సూపర్,1,2,Suspicious
@svsajol7661,Dkfullhd ❤😮❤bh❤😊❤😊😅😂😅🎉😮😮🎉😮🎉😅❤😊❤🎉😅🎉😮🎉😮😅❤😊😅😂😅🎉😂,1,3,Suspicious
@meghanchowdary1487,40:15 😂😂😂,1,1,Real
@gourishankar105,2025 lo chusina vaallu like,1,0,Real
@MYLIFEISDARK,😅,1,1,Real
@gourishankar105,Watching in 2025 august,1,0,Real
@LakshmiLakshmi-pk2zv,❤,4,3,Suspicious
@LakshmiLakshmi-pk2zv,❤,4,3,Suspicious
@venkateshkatroth2466,Shankar anna😊,1,1,Real
@ThirupathiShaingarapu,In,1,1,Real
@chukkalatharak1402,25:00,1,1,Real
@itsmeviky2309,Best of luck 🤞 darling,1,0,Real
@manojkumarmanojkumar9018,38:45  Brahmi 💀🔥🔥,1,0,Real
@manojkumarmanojkumar9018,21:31 that expression 😂,1,0,Real
@prabhumanje1942,asalu e movie raviteja chesthe comedy block buster,1,0,Real
@Sanju_Nani,2025,1,1,Real
@mokkadamnarsingrao9292,Nenu,1,1,Real
@rajinikantkrk1982,❄️ anna appudu bagane unnadu 😂😂 eppudey😂😂😂,1,0,Real
@sivaramakrishna2752,38:45 brahmi expressions peak 🔥,1,0,Real
@anupamatravels,Nice slum area scenes,1,0,Real
@anupamatravels,Which basti is shooting location?,1,0,Real
@Ashwin12345,"Many comedians in one frame
1) sunil
2) srihari
3) brahmi
4) brahmaji
5) jp
6) heroes father",1,1,Real
@SSSpower6,😂malli Elanti movie chudali anni pistundi .....avaru testharoo,1,0,Real
@HarryPotter-sh9fs,Floppy,1,1,Real
@HoneyGanapathi2367,మంచు విష్ణు టాయిలెట్,1,2,Suspicious
